nproc,std_dev,elapsed_time
1,0.288667,5.378652
2,0.288666,2.484656
4,0.288632,1.340205
8,0.288649,0.695668
16,0.288658,0.352314
32,0.288659,0.178035
64,0.288646,0.090556
