nproc,N,std_dev,elapsed_time
1,4194304,0.288646,0.129953
2,8388608,0.288646,0.132292
4,16777216,0.288682,0.142624
8,33554432,0.288682,0.145164
16,67108864,0.288671,0.147267
32,134217728,0.288681,0.147682
64,268435456,0.288676,0.187886
