nproc,std_dev,elapsed_time
1,0.288667,8.699008
2,0.288666,4.386978
4,0.288658,2.249505
8,0.288684,1.148461
16,0.288673,0.583580
32,0.288688,0.294455
64,0.288676,0.147792
